gender,car,reality,child_num,income_total,income_type,edu_type,family_type,house_type,DAYS_BIRTH,DAYS_EMPLOYED,occyp_type,family_size,begin_month,credit,credit_card_count,before_EMPLOYED_year,Age,DAYS_BIRTH_month,EMPLOYED,begin_year,cluster
M,Y,Y,2,157500.0,Working,Secondary / secondary special,Married,House / apartment,14312,4480,Laborers,4.0,48.0,1.0,6,26,39,9.0,12,4.0,3
M,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,10911,535,Laborers,2.0,5.0,1.0,6,28,29,3.0,1,0.0,0
F,N,Y,0,81000.0,Commercial associate,Secondary / secondary special,Single / not married,With parents,8877,303,Core staff,1.0,23.0,2.0,3,23,24,7.0,0,1.0,0
F,N,Y,0,252000.0,State servant,Secondary / secondary special,Married,House / apartment,18352,139,Medicine staff,2.0,5.0,2.0,2,49,50,11.0,0,0.0,1
F,N,Y,1,202500.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,15975,8760,Private service staff,3.0,15.0,1.0,6,19,43,4.0,24,1.0,3
M,Y,N,0,216000.0,Working,Secondary / secondary special,Married,House / apartment,23071,1618,Drivers,2.0,39.0,2.0,1,58,63,1.0,4,3.0,1
M,Y,Y,0,270000.0,Working,Secondary / secondary special,Single / not married,House / apartment,17259,1420,Drivers,1.0,7.0,2.0,3,43,47,11.0,3,0.0,1
F,N,Y,0,225000.0,Commercial associate,Incomplete higher,Civil marriage,House / apartment,8425,94,Sales staff,2.0,2.0,1.0,5,22,23,4.0,0,0.0,0
F,N,Y,1,90000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,10525,2135,Sales staff,2.0,16.0,1.0,4,22,28,2.0,5,1.0,0
M,N,Y,1,157500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,13314,544,Drivers,3.0,1.0,1.0,4,34,36,11.0,1,0.0,2
F,N,N,0,126000.0,Working,Secondary / secondary special,Single / not married,With parents,8209,951,Sales staff,1.0,4.0,1.0,1,19,22,9.0,2,0.0,0
F,N,Y,0,180000.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,16091,7371,Core staff,2.0,43.0,1.0,8,23,44,8.0,20,3.0,3
M,N,N,0,189000.0,State servant,Secondary / secondary special,Married,House / apartment,15752,2770,Core staff,2.0,41.0,2.0,4,35,43,9.0,7,3.0,2
F,N,Y,0,112500.0,Working,Higher education,Married,House / apartment,12593,3942,Core staff,2.0,7.0,2.0,2,23,34,11.0,10,0.0,0
M,Y,Y,0,225000.0,Working,Higher education,Married,Rented apartment,15317,1656,High skill tech staff,2.0,6.0,1.0,4,37,41,6.0,4,0.0,2
M,N,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,18427,1296,Laborers,2.0,6.0,1.0,7,46,50,2.0,3,0.0,1
F,Y,Y,0,162000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,18251,3019,Managers,2.0,33.0,2.0,1,41,50,8.0,8,2.0,1
F,N,N,1,67500.0,Working,Secondary / secondary special,Married,House / apartment,16581,6959,Laborers,3.0,30.0,2.0,4,26,45,0.0,19,2.0,3
F,N,Y,0,180000.0,Working,Secondary / secondary special,Widow,House / apartment,17725,1783,Accountants,1.0,55.0,1.0,5,43,48,2.0,4,4.0,1
M,Y,Y,2,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,15901,287,Laborers,4.0,14.0,2.0,1,42,43,2.0,0,1.0,2
M,Y,Y,0,112500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,18491,473,Laborers,2.0,13.0,1.0,3,49,50,4.0,1,1.0,1
F,N,Y,0,495000.0,Commercial associate,Higher education,Married,House / apartment,19682,3880,Managers,2.0,55.0,1.0,5,43,53,8.0,10,4.0,1
F,Y,N,2,90000.0,Working,Secondary / secondary special,Married,House / apartment,13135,3657,High skill tech staff,4.0,44.0,2.0,6,25,35,5.0,10,3.0,0
M,N,Y,1,126000.0,Working,Secondary / secondary special,Married,House / apartment,13386,1708,Drivers,3.0,8.0,1.0,2,31,36,2.0,4,0.0,2
F,N,Y,0,387000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,20082,4979,Sales staff,2.0,45.0,1.0,7,41,55,9.0,13,3.0,1
M,N,N,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,13739,2896,Security staff,2.0,42.0,1.0,4,29,37,1.0,7,3.0,2
M,N,N,0,180000.0,Working,Secondary / secondary special,Single / not married,With parents,12784,1537,Drivers,1.0,19.0,1.0,3,30,35,6.0,4,1.0,2
F,N,Y,0,67500.0,Working,Secondary / secondary special,Married,House / apartment,14690,504,Cooking staff,2.0,2.0,2.0,1,38,40,9.0,1,0.0,2
F,N,N,0,108000.0,Working,Secondary / secondary special,Separated,House / apartment,20002,187,Laborers,1.0,34.0,2.0,2,54,54,6.0,0,2.0,1
F,N,Y,0,90000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,18656,2656,Laborers,2.0,40.0,2.0,2,43,51,9.0,7,3.0,1
M,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,21112,2490,Managers,2.0,39.0,2.0,1,51,57,7.0,6,3.0,1
M,Y,Y,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,11279,508,Laborers,3.0,50.0,2.0,3,29,30,3.0,1,4.0,0
F,N,Y,0,360000.0,Working,Secondary / secondary special,Married,House / apartment,15552,5587,Laborers,2.0,4.0,1.0,5,27,42,2.0,15,0.0,3
F,Y,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,12943,473,Laborers,2.0,31.0,2.0,3,34,35,11.0,1,2.0,2
F,Y,Y,2,540000.0,Working,Secondary / secondary special,Married,House / apartment,15072,4997,Accountants,4.0,13.0,1.0,1,27,41,10.0,13,1.0,3
M,Y,Y,0,405000.0,Working,Secondary / secondary special,Married,House / apartment,16319,1086,Managers,2.0,22.0,1.0,4,41,44,3.0,2,1.0,2
M,Y,N,0,103500.0,Commercial associate,Secondary / secondary special,Married,Municipal apartment,8704,352,Low-skill Laborers,2.0,30.0,2.0,1,22,23,2.0,0,2.0,0
M,N,Y,1,292500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,14785,3018,Laborers,3.0,14.0,1.0,7,32,40,0.0,8,1.0,2
M,Y,Y,3,180000.0,Working,Secondary / secondary special,Married,House / apartment,14192,824,High skill tech staff,5.0,13.0,2.0,8,36,38,5.0,2,1.0,2
M,Y,Y,1,90000.0,Working,Secondary / secondary special,Married,House / apartment,14263,2553,Laborers,3.0,52.0,2.0,1,32,39,7.0,6,4.0,2
M,Y,Y,0,180000.0,State servant,Higher education,Single / not married,House / apartment,8507,1082,Core staff,1.0,8.0,1.0,3,20,23,7.0,2,0.0,0
F,N,Y,0,180000.0,State servant,Higher education,Married,House / apartment,21601,12490,High skill tech staff,2.0,36.0,2.0,2,24,59,0.0,34,3.0,3
F,Y,Y,0,180000.0,Working,Higher education,Married,House / apartment,15554,2416,Drivers,2.0,49.0,1.0,4,35,42,2.0,6,4.0,2
F,N,N,0,139500.0,Working,Higher education,Separated,House / apartment,16203,7100,Managers,1.0,9.0,2.0,1,24,44,0.0,19,0.0,3
M,Y,Y,1,189000.0,Commercial associate,Secondary / secondary special,Married,Municipal apartment,16893,1521,Sales staff,3.0,40.0,2.0,1,42,46,11.0,4,3.0,1
M,N,N,0,135000.0,Working,Lower secondary,Civil marriage,House / apartment,9996,3395,Low-skill Laborers,2.0,1.0,1.0,2,18,27,9.0,9,0.0,0
M,N,Y,2,360000.0,State servant,Higher education,Married,House / apartment,16027,5639,Managers,4.0,35.0,1.0,5,28,43,6.0,15,2.0,3
M,Y,N,1,315000.0,Commercial associate,Higher education,Married,With parents,11689,716,High skill tech staff,3.0,49.0,1.0,12,30,32,5.0,1,4.0,0
M,N,Y,0,202500.0,Working,Higher education,Married,House / apartment,14944,2060,Managers,2.0,52.0,2.0,2,35,40,6.0,5,4.0,2
M,N,Y,0,225000.0,State servant,Secondary / secondary special,Married,House / apartment,12394,381,Laborers,2.0,31.0,1.0,8,32,33,5.0,1,2.0,2
M,Y,Y,1,247500.0,Working,Secondary / secondary special,Married,House / apartment,15771,4003,Core staff,3.0,21.0,2.0,3,32,43,9.0,10,1.0,2
F,Y,Y,1,270000.0,Commercial associate,Academic degree,Married,House / apartment,12155,979,Sales staff,3.0,38.0,1.0,8,30,33,9.0,2,3.0,0
F,N,N,0,202500.0,Working,Higher education,Married,Municipal apartment,17822,10689,Security staff,2.0,10.0,1.0,3,19,48,6.0,29,0.0,3
F,N,Y,0,45000.0,Working,Secondary / secondary special,Married,House / apartment,20106,6303,Medicine staff,2.0,44.0,2.0,1,37,55,10.0,17,3.0,3
M,N,N,0,270000.0,Working,Higher education,Married,Rented apartment,17300,408,Managers,2.0,3.0,1.0,2,46,47,0.0,1,0.0,1
M,N,Y,0,135000.0,State servant,Secondary / secondary special,Single / not married,House / apartment,14671,2027,Managers,1.0,8.0,2.0,3,34,40,9.0,5,0.0,2
M,N,Y,2,99000.0,Working,Secondary / secondary special,Married,House / apartment,14226,1026,Laborers,4.0,45.0,1.0,6,36,38,6.0,2,3.0,2
F,Y,Y,2,126000.0,Working,Secondary / secondary special,Married,House / apartment,14933,107,Security staff,4.0,20.0,2.0,3,40,40,5.0,0,1.0,2
F,N,N,0,135000.0,Working,Secondary / secondary special,Single / not married,With parents,20027,2697,Cleaning staff,1.0,7.0,2.0,3,47,54,7.0,7,0.0,1
M,Y,Y,2,180000.0,Working,Higher education,Married,House / apartment,13174,2477,Managers,4.0,45.0,2.0,15,29,36,7.0,6,3.0,2
F,Y,Y,0,270000.0,State servant,Higher education,Married,House / apartment,21955,12455,Core staff,2.0,26.0,2.0,5,26,60,11.0,34,2.0,3
F,N,Y,0,112500.0,State servant,Higher education,Married,House / apartment,13035,361,Core staff,2.0,3.0,1.0,3,34,35,2.0,0,0.0,2
F,Y,N,0,225000.0,Working,Secondary / secondary special,Widow,House / apartment,12522,613,Laborers,1.0,1.0,1.0,10,32,34,9.0,1,0.0,2
F,N,Y,0,270000.0,Working,Higher education,Single / not married,House / apartment,16668,377,Sales staff,1.0,32.0,2.0,7,44,45,3.0,1,2.0,1
F,N,N,0,189000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,16395,523,Managers,2.0,59.0,2.0,6,43,44,6.0,1,4.0,1
F,Y,N,0,126000.0,Working,Secondary / secondary special,Separated,House / apartment,16872,1656,Core staff,1.0,3.0,1.0,3,41,46,10.0,4,0.0,1
F,Y,Y,1,265500.0,Working,Higher education,Married,With parents,10998,2514,Accountants,3.0,52.0,2.0,2,23,30,6.0,6,4.0,0
F,N,Y,1,180000.0,Working,Higher education,Married,House / apartment,19240,3457,Managers,3.0,49.0,1.0,2,43,52,5.0,9,4.0,1
M,Y,Y,0,225000.0,Commercial associate,Incomplete higher,Single / not married,With parents,10033,223,Managers,1.0,6.0,2.0,2,26,27,10.0,0,0.0,0
M,Y,Y,1,180000.0,Working,Higher education,Married,House / apartment,14082,1800,Managers,3.0,39.0,2.0,12,33,38,1.0,4,3.0,2
F,N,N,0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,16908,2934,Cooking staff,2.0,9.0,2.0,4,38,46,11.0,8,0.0,2
M,Y,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,17300,1235,Drivers,2.0,39.0,2.0,6,44,47,0.0,3,3.0,1
F,Y,N,0,315000.0,Commercial associate,Higher education,Widow,House / apartment,18064,3315,Managers,1.0,38.0,1.0,2,40,49,2.0,9,3.0,1
M,Y,Y,0,180000.0,Working,Higher education,Married,House / apartment,17704,3961,Managers,2.0,6.0,2.0,1,37,48,2.0,10,0.0,2
F,N,N,1,112500.0,Commercial associate,Higher education,Married,With parents,12331,3272,Core staff,3.0,56.0,1.0,5,24,33,3.0,8,4.0,0
M,N,N,1,202500.0,State servant,Incomplete higher,Married,With parents,12096,575,Drivers,3.0,3.0,1.0,3,31,33,7.0,1,0.0,0
F,N,Y,1,225000.0,Commercial associate,Higher education,Married,House / apartment,13011,1953,Sales staff,3.0,7.0,2.0,6,30,35,1.0,5,0.0,2
F,Y,Y,0,144000.0,Working,Secondary / secondary special,Married,House / apartment,21871,5665,Cooking staff,2.0,52.0,1.0,1,44,59,9.0,15,4.0,1
F,Y,Y,1,112500.0,Working,Higher education,Married,House / apartment,10038,2926,Laborers,3.0,2.0,1.0,1,19,27,10.0,8,0.0,0
M,Y,Y,0,261000.0,Working,Incomplete higher,Separated,House / apartment,21583,5627,Drivers,1.0,42.0,2.0,1,43,59,11.0,15,3.0,1
F,N,Y,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,18150,1812,Drivers,3.0,16.0,1.0,6,44,49,5.0,4,1.0,1
M,Y,Y,0,382500.0,Working,Secondary / secondary special,Single / not married,House / apartment,21599,3021,Laborers,1.0,21.0,2.0,3,50,59,11.0,8,1.0,1
F,N,Y,0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,17211,3232,Laborers,2.0,31.0,2.0,5,38,47,9.0,8,2.0,2
M,Y,N,0,270000.0,Commercial associate,Higher education,Single / not married,House / apartment,9517,158,Core staff,1.0,14.0,2.0,3,25,26,5.0,0,1.0,0
M,N,Y,0,85500.0,State servant,Secondary / secondary special,Separated,Co-op apartment,16542,8737,Core staff,1.0,3.0,1.0,2,21,45,11.0,23,0.0,3
F,N,Y,1,675000.0,Commercial associate,Higher education,Married,House / apartment,15843,1398,Sales staff,3.0,8.0,2.0,6,39,43,0.0,3,0.0,2
F,N,Y,0,270000.0,Working,Secondary / secondary special,Married,Municipal apartment,21088,8855,Laborers,2.0,12.0,2.0,6,33,57,6.0,24,1.0,3
M,N,N,0,180000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,9579,1953,Laborers,1.0,2.0,1.0,3,20,26,7.0,5,0.0,0
M,Y,Y,0,202500.0,Working,Incomplete higher,Married,House / apartment,17242,857,Security staff,2.0,15.0,1.0,3,44,47,10.0,2,1.0,1
F,Y,Y,2,90000.0,Working,Higher education,Married,House / apartment,11599,1928,Accountants,4.0,58.0,1.0,5,26,31,2.0,5,4.0,0
F,N,N,2,202500.0,Working,Secondary / secondary special,Married,House / apartment,13446,2720,Sales staff,4.0,30.0,1.0,16,29,36,4.0,7,2.0,2
M,Y,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,22014,10236,Core staff,2.0,50.0,2.0,3,32,60,1.0,28,4.0,3
F,N,Y,2,157500.0,State servant,Secondary / secondary special,Married,House / apartment,12682,932,Managers,4.0,5.0,1.0,4,32,34,2.0,2,0.0,2
F,N,Y,0,202500.0,Commercial associate,Higher education,Married,House / apartment,12972,2208,Managers,2.0,29.0,2.0,2,29,35,0.0,6,2.0,0
M,N,Y,0,247500.0,Working,Secondary / secondary special,Married,House / apartment,19284,765,High skill tech staff,2.0,5.0,2.0,2,50,52,6.0,2,0.0,1
F,N,N,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,20046,3503,Sales staff,2.0,4.0,1.0,4,45,54,8.0,9,0.0,1
M,N,N,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,10368,1259,High skill tech staff,2.0,24.0,1.0,7,24,28,9.0,3,2.0,0
M,N,Y,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,18719,1473,Laborers,3.0,52.0,2.0,7,47,51,11.0,4,4.0,1
F,Y,Y,0,135000.0,Working,Secondary / secondary special,Separated,House / apartment,16211,1406,Laborers,1.0,52.0,1.0,4,40,44,0.0,3,4.0,2
F,N,Y,0,126000.0,Working,Secondary / secondary special,Married,House / apartment,21800,2544,Laborers,2.0,40.0,1.0,2,52,59,6.0,6,3.0,1
F,N,Y,1,112500.0,Working,Secondary / secondary special,Widow,House / apartment,14199,2970,Private service staff,2.0,36.0,2.0,5,30,38,5.0,8,3.0,2
F,N,Y,1,405000.0,Commercial associate,Higher education,Widow,House / apartment,13241,1974,Accountants,2.0,39.0,1.0,3,30,36,9.0,5,3.0,2
F,Y,Y,1,67500.0,Working,Secondary / secondary special,Married,House / apartment,12821,931,Laborers,3.0,58.0,1.0,9,32,35,7.0,2,4.0,2
F,N,N,0,270000.0,Working,Secondary / secondary special,Married,House / apartment,18307,8794,Drivers,2.0,25.0,2.0,7,26,50,10.0,24,2.0,3
F,N,Y,0,247500.0,Commercial associate,Higher education,Married,House / apartment,11648,1478,Managers,2.0,17.0,1.0,2,27,31,4.0,4,1.0,0
M,Y,N,2,157500.0,Working,Secondary / secondary special,Married,Municipal apartment,12518,1135,Cleaning staff,4.0,27.0,1.0,3,31,34,9.0,3,2.0,2
F,N,N,1,202500.0,Working,Secondary / secondary special,Married,House / apartment,11813,3266,Sales staff,3.0,25.0,1.0,8,23,32,9.0,8,2.0,0
F,Y,Y,1,225000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,12564,819,Private service staff,3.0,21.0,1.0,8,32,34,10.0,2,1.0,2
M,Y,Y,0,315000.0,Working,Higher education,Married,House / apartment,18335,2796,Drivers,2.0,9.0,2.0,8,42,50,11.0,7,0.0,1
F,Y,Y,0,225000.0,Commercial associate,Higher education,Civil marriage,House / apartment,10851,164,Sales staff,2.0,22.0,2.0,1,29,29,1.0,0,1.0,0
M,Y,Y,1,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,12415,3667,Core staff,3.0,33.0,1.0,3,23,34,5.0,10,2.0,0
F,N,Y,2,54000.0,Commercial associate,Higher education,Married,House / apartment,13091,316,Sales staff,4.0,17.0,2.0,3,35,35,4.0,0,1.0,2
M,Y,Y,0,135000.0,Working,Secondary / secondary special,Widow,House / apartment,18481,1800,Laborers,1.0,37.0,1.0,2,45,50,4.0,4,3.0,1
F,N,Y,2,99000.0,Working,Secondary / secondary special,Separated,House / apartment,12676,643,Laborers,3.0,5.0,1.0,1,32,34,2.0,1,0.0,2
F,N,N,0,72000.0,Working,Secondary / secondary special,Single / not married,House / apartment,18799,1466,Cleaning staff,1.0,15.0,2.0,15,47,51,2.0,4,1.0,1
M,Y,Y,0,256500.0,Commercial associate,Higher education,Married,House / apartment,21503,1674,Core staff,2.0,17.0,2.0,9,54,58,8.0,4,1.0,1
F,N,N,0,112500.0,Working,Secondary / secondary special,Widow,With parents,10240,818,Core staff,1.0,14.0,1.0,4,25,28,5.0,2,1.0,0
F,N,Y,0,144000.0,Working,Secondary / secondary special,Single / not married,House / apartment,11175,322,Cooking staff,1.0,18.0,2.0,1,29,30,0.0,0,1.0,0
M,Y,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,9586,1070,Laborers,2.0,9.0,2.0,3,23,26,7.0,2,0.0,0
F,N,Y,1,135000.0,Working,Higher education,Married,House / apartment,10650,3163,Accountants,3.0,20.0,2.0,10,20,29,7.0,8,1.0,0
F,Y,Y,2,225000.0,Commercial associate,Higher education,Married,House / apartment,14100,3623,Private service staff,4.0,34.0,2.0,11,28,38,2.0,9,2.0,2
F,Y,Y,1,202500.0,Commercial associate,Higher education,Married,House / apartment,15598,1659,Accountants,3.0,18.0,2.0,5,38,42,3.0,4,1.0,2
F,N,Y,0,292500.0,Working,Secondary / secondary special,Married,House / apartment,16888,3521,Medicine staff,2.0,17.0,2.0,2,36,46,10.0,9,1.0,2
F,N,Y,1,90000.0,Working,Secondary / secondary special,Married,House / apartment,11679,2086,Medicine staff,3.0,51.0,1.0,1,26,31,5.0,5,4.0,0
M,Y,Y,0,270000.0,Working,Secondary / secondary special,Married,House / apartment,10492,2822,Drivers,2.0,39.0,2.0,2,21,28,1.0,7,3.0,0
M,Y,Y,0,270000.0,State servant,Secondary / secondary special,Married,House / apartment,11372,3897,Core staff,2.0,27.0,1.0,5,20,31,7.0,10,2.0,0
M,Y,Y,0,450000.0,Commercial associate,Higher education,Married,House / apartment,18362,2141,Medicine staff,2.0,18.0,2.0,4,44,50,0.0,5,1.0,1
F,Y,N,0,342000.0,State servant,Higher education,Single / not married,House / apartment,12214,3807,Core staff,1.0,20.0,2.0,6,23,33,11.0,10,1.0,0
F,N,Y,0,292500.0,Working,Secondary / secondary special,Widow,House / apartment,19837,3220,Waiters/barmen staff,1.0,34.0,2.0,2,45,54,1.0,8,2.0,1
F,N,Y,2,202500.0,Working,Secondary / secondary special,Married,Municipal apartment,11468,4448,Laborers,4.0,48.0,2.0,4,19,31,10.0,12,4.0,0
M,N,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,18817,2934,Laborers,2.0,3.0,1.0,5,43,51,3.0,8,0.0,1
F,N,Y,1,67500.0,Working,Secondary / secondary special,Married,Rented apartment,14575,2146,Laborers,3.0,37.0,2.0,2,34,39,5.0,5,3.0,2
M,Y,Y,3,135000.0,Working,Secondary / secondary special,Married,House / apartment,11945,735,Laborers,5.0,14.0,2.0,3,30,32,2.0,2,1.0,0
F,N,N,0,63000.0,Working,Secondary / secondary special,Married,House / apartment,15921,8063,Laborers,2.0,38.0,2.0,2,21,43,2.0,22,3.0,3
F,N,N,0,81000.0,Working,Secondary / secondary special,Married,House / apartment,9172,2175,Laborers,2.0,3.0,1.0,4,19,25,5.0,5,0.0,0
M,Y,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,19200,1570,Drivers,2.0,34.0,1.0,1,48,52,4.0,4,2.0,1
F,N,N,0,58500.0,Working,Secondary / secondary special,Married,House / apartment,13769,582,Security staff,2.0,15.0,2.0,3,36,37,2.0,1,1.0,2
F,N,N,2,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,14476,4987,High skill tech staff,4.0,47.0,2.0,3,25,39,2.0,13,3.0,3
F,Y,Y,2,121500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,14364,3747,Laborers,4.0,19.0,2.0,1,29,39,10.0,10,1.0,2
M,Y,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,12917,1766,Sales staff,2.0,60.0,2.0,6,30,35,10.0,4,5.0,2
M,Y,Y,1,225000.0,Working,Secondary / secondary special,Married,House / apartment,10035,1108,Sales staff,3.0,7.0,1.0,5,24,27,10.0,3,0.0,0
F,Y,N,1,148500.0,Working,Secondary / secondary special,Married,House / apartment,11675,3779,Sales staff,3.0,32.0,2.0,4,21,31,5.0,10,2.0,0
F,N,N,0,90000.0,Working,Secondary / secondary special,Separated,House / apartment,11682,678,Sales staff,1.0,22.0,2.0,3,30,32,5.0,1,1.0,0
M,Y,N,0,180000.0,Working,Secondary / secondary special,Single / not married,House / apartment,11801,2877,Drivers,1.0,15.0,2.0,4,24,32,9.0,7,1.0,0
F,N,Y,0,225000.0,State servant,Secondary / secondary special,Separated,House / apartment,19690,12423,Medicine staff,1.0,58.0,2.0,2,19,53,8.0,34,4.0,3
F,N,Y,5,157500.0,Working,Secondary / secondary special,Married,House / apartment,13039,3375,Laborers,7.0,11.0,2.0,5,26,35,2.0,9,0.0,0
M,N,Y,0,360000.0,Working,Secondary / secondary special,Married,House / apartment,18143,10437,Laborers,2.0,24.0,2.0,2,21,49,4.0,28,2.0,3
F,N,N,1,225000.0,State servant,Higher education,Civil marriage,House / apartment,11279,1788,Medicine staff,3.0,24.0,2.0,2,26,30,3.0,4,2.0,0
F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,14773,626,Managers,2.0,49.0,1.0,4,38,40,0.0,1,4.0,2
F,Y,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,12078,673,Laborers,2.0,45.0,2.0,10,31,33,6.0,1,3.0,0
F,Y,Y,0,225000.0,Commercial associate,Higher education,Single / not married,House / apartment,11202,1270,Core staff,1.0,2.0,1.0,6,27,30,1.0,3,0.0,0
M,N,Y,0,202500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,11631,714,Managers,1.0,7.0,1.0,6,29,31,3.0,1,0.0,0
F,N,N,0,90000.0,Working,Secondary / secondary special,Married,With parents,16174,277,Sales staff,2.0,41.0,2.0,1,43,44,11.0,0,3.0,1
M,Y,N,0,220500.0,Working,Secondary / secondary special,Married,House / apartment,22647,3847,Laborers,2.0,17.0,2.0,1,51,62,10.0,10,1.0,1
M,N,Y,1,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,14538,5803,Laborers,3.0,38.0,2.0,1,23,39,4.0,15,3.0,3
F,N,Y,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,21456,425,Medicine staff,2.0,16.0,2.0,2,57,58,7.0,1,1.0,1
F,Y,Y,0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,17297,2018,Sales staff,2.0,22.0,2.0,3,41,47,0.0,5,1.0,1
F,N,Y,0,360000.0,State servant,Higher education,Married,House / apartment,16182,3163,Managers,2.0,40.0,1.0,2,35,44,11.0,8,3.0,2
M,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,20145,1043,Laborers,2.0,14.0,1.0,9,52,55,11.0,2,1.0,1
F,N,Y,0,225000.0,Working,Higher education,Married,House / apartment,16202,2939,Managers,2.0,46.0,2.0,12,36,44,0.0,8,3.0,2
M,Y,Y,1,225000.0,Working,Secondary / secondary special,Married,Municipal apartment,12625,1261,Drivers,3.0,6.0,1.0,4,31,34,0.0,3,0.0,2
M,Y,Y,0,135000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,9075,843,Drivers,1.0,52.0,1.0,2,22,24,2.0,2,4.0,0
F,N,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,17732,6883,Core staff,2.0,58.0,2.0,2,29,48,3.0,18,4.0,3
F,Y,Y,2,135000.0,State servant,Secondary / secondary special,Married,House / apartment,14439,6094,Core staff,4.0,44.0,2.0,8,22,39,1.0,16,3.0,3
F,N,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,18624,2348,Laborers,2.0,54.0,2.0,1,44,51,8.0,6,4.0,1
F,N,N,0,135000.0,Working,Higher education,Single / not married,House / apartment,13785,318,Cooking staff,1.0,54.0,2.0,2,36,37,3.0,0,4.0,2
M,Y,Y,2,121500.0,Working,Secondary / secondary special,Married,House / apartment,10991,637,Laborers,4.0,40.0,2.0,5,28,30,6.0,1,3.0,0
F,N,Y,0,144000.0,Working,Secondary / secondary special,Single / not married,House / apartment,15138,1769,Laborers,1.0,26.0,2.0,2,36,41,0.0,4,2.0,2
F,Y,N,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,11388,1315,Core staff,2.0,29.0,2.0,4,27,31,7.0,3,2.0,0
F,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,17522,1751,High skill tech staff,2.0,34.0,2.0,2,43,48,8.0,4,2.0,1
M,N,Y,1,157500.0,State servant,Incomplete higher,Married,House / apartment,8948,1751,Core staff,3.0,28.0,2.0,6,19,24,10.0,4,2.0,0
F,N,Y,0,157500.0,Working,Higher education,Married,House / apartment,17366,2426,Managers,2.0,7.0,2.0,7,40,47,2.0,6,0.0,1
M,N,Y,1,157500.0,Working,Secondary / secondary special,Married,Office apartment,11318,3330,Managers,3.0,6.0,1.0,5,21,31,5.0,9,0.0,0
F,N,Y,1,211500.0,Working,Higher education,Married,House / apartment,12442,2330,Core staff,3.0,17.0,1.0,2,27,34,6.0,6,1.0,0
M,N,N,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,19124,5064,Laborers,2.0,17.0,2.0,8,38,52,1.0,13,1.0,1
F,N,N,0,126000.0,State servant,Secondary / secondary special,Married,House / apartment,18166,3666,Medicine staff,2.0,12.0,2.0,5,39,49,5.0,10,1.0,1
M,N,Y,2,90000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,15988,566,Laborers,4.0,39.0,2.0,4,42,43,4.0,1,3.0,2
F,N,Y,1,144000.0,Commercial associate,Higher education,Married,House / apartment,12517,3778,Managers,3.0,26.0,1.0,1,23,34,9.0,10,2.0,0
